sand,chapter_no,chapter,level,matn,sand_length,matn_length
حدثنا محمد بن بشار قال حدثنا يحيى بن سعيد قال حدثنا شعبة قال حدثني أبو التياح عن أنس عن النبي صلى الله عليه وسلم قال  يسروا ولا تعسروا وبشروا ولا تنفروا ,3.0,Knowledge - كتاب العلم,سهل, يسروا ولا تعسروا وبشروا ولا تنفروا ,168.0,43
حدثنا عثمان بن أبي شيبة قال حدثنا جرير عن منصور عن أبي وائل قال كان عبد الله يذكر الناس في كل خميس فقال له رجل يا أبا عبد الرحمن لوددت أنك ذكرتنا كل يوم قال أما إنه يمنعني من ذلك أني أكره أن أملكم وإني أتخولكم بالموعظة كما كان النبي صلى الله عليه وسلم يتخولنا بها مخافة السآمة علينا,3.0,Knowledge - كتاب العلم,سهل,كان عبد الله يذكر الناس في كل خميس فقال له رجل يا أبا عبد الرحمن لوددت أنك ذكرتنا كل يوم قال أما إنه يمنعني من ذلك أني أكره أن أملكم وإني أتخولكم بالموعظة كما كان النبي صلى الله عليه وسلم يتخولنا بها مخافة السآمة علينا,295.0,227
حدثنا سعيد بن عفير قال حدثنا ابن وهب عن يونس عن ابن شهاب قال قال حميد بن عبد الرحمن سمعت معاوية خطيبا يقول سمعت النبي صلى الله عليه وسلم يقول  من يرد الله به خيرا يفقهه في الدين وإنما أنا قاسم والله يعطي ولن تزال هذه الأمة قائمة على أمر الله لا يضرهم من خالفهم حتى يأتي أمر الله ,3.0,Knowledge - كتاب العلم,سهل, من يرد الله به خيرا يفقهه في الدين وإنما أنا قاسم والله يعطي ولن تزال هذه الأمة قائمة على أمر الله لا يضرهم من خالفهم حتى يأتي أمر الله ,295.0,145
حدثنا علي حدثنا سفيان قال قال لي ابن أبي نجيح عن مجاهد قال صحبت ابن عمر إلى المدينة فلم أسمعه يحدث عن رسول الله صلى الله عليه وسلم إلا حديثا واحدا قال كنا عند النبي صلى الله عليه وسلم فأتي بجمار فقال  إن من الشجر شجرة مثلها كمثل المسلم  فأردت أن أقول هي النخلة فإذا أنا أصغر القوم فسكت قال النبي صلى الله عليه وسلم  هي النخلة ,3.0,Knowledge - كتاب العلم,سهل,كنا عند النبي صلى الله عليه وسلم فأتي بجمار فقال  إن من الشجر شجرة مثلها كمثل المسلم  فأردت أن أقول هي النخلة فإذا أنا أصغر القوم فسكت قال النبي صلى الله عليه وسلم  هي النخلة ,350.0,195
حدثنا الحميدي قال حدثنا سفيان قال حدثني إسماعيل بن أبي خالد على غير ما حدثناه الزهري قال سمعت قيس بن أبي حازم قال سمعت عبد الله بن مسعود قال قال النبي صلى الله عليه وسلم  لا حسد إلا في اثنتين رجل آتاه الله مالا فسلط على هلكته في الحق ورجل آتاه الله الحكمة فهو يقضي بها ويعلمها ,3.0,Knowledge - كتاب العلم,سهل, لا حسد إلا في اثنتين رجل آتاه الله مالا فسلط على هلكته في الحق ورجل آتاه الله الحكمة فهو يقضي بها ويعلمها ,294.0,115
حدثنا محمد بن غرير الزهري قال حدثنا يعقوب بن إبراهيم قال حدثني أبي عن صالح عن ابن شهاب حدث أن عبيد الله بن عبد الله أخبره عن ابن عباس أنه تمارى هو والحر بن قيس بن حصن الفزاري في صاحب موسى قال ابن عباس هو خضر فمر بهما أبى بن كعب فدعاه ابن عباس فقال إني تماريت أنا وصاحبي هذا في صاحب موسى الذي سأل موسى السبيل إلى لقيه هل سمعت النبي صلى الله عليه وسلم يذكر شأنه قال نعم سمعت رسول الله صلى الله عليه وسلم يقول  بينما موسى في ملإ من بني إسرائيل جاءه رجل فقال هل تعلم أحدا أعلم منك قال موسى لا فأوحى الله إلى موسى بلى عبدنا خضر فسأل موسى السبيل إليه فجعل الله له الحوت آية وقيل له إذا فقدت الحوت فارجع فإنك ستلقاه وكان يتبع أثر الحوت في البحر فقال لموسى فتاه أرأيت إذ أوينا إلى الصخرة فإني نسيت الحوت وما أنسانيه إلا الشيطان أن أذكره قال ذلك ما كنا نبغي فارتدا على آثارهما قصصا فوجدا خضرا فكان من شأنهما الذي قص الله عز وجل في كتابه ,3.0,Knowledge - كتاب العلم,صعب,إني تماريت أنا وصاحبي هذا في صاحب موسى الذي سأل موسى السبيل إلى لقيه هل سمعت النبي صلى الله عليه وسلم يذكر شأنه قال نعم سمعت رسول الله صلى الله عليه وسلم يقول  بينما موسى في ملإ من بني إسرائيل جاءه رجل فقال هل تعلم أحدا أعلم منك قال موسى لا فأوحى الله إلى موسى بلى عبدنا خضر فسأل موسى السبيل إليه فجعل الله له الحوت آية وقيل له إذا فقدت الحوت فارجع فإنك ستلقاه وكان يتبع أثر الحوت في البحر فقال لموسى فتاه أرأيت إذ أوينا إلى الصخرة فإني نسيت الحوت وما أنسانيه إلا الشيطان أن أذكره قال ذلك ما كنا نبغي فارتدا على آثارهما قصصا فوجدا خضرا فكان من شأنهما الذي قص الله عز وجل في كتابه ,869.0,611
حدثنا أبو معمر قال حدثنا عبد الوارث قال حدثنا خالد عن عكرمة عن ابن عباس قال ضمني رسول الله صلى الله عليه وسلم وقال  اللهم علمه الكتاب ,3.0,Knowledge - كتاب العلم,سهل,ضمني رسول الله صلى الله عليه وسلم وقال  اللهم علمه الكتاب ,148.0,67
حدثنا إسماعيل بن أبي أويس قال حدثني مالك عن ابن شهاب عن عبيد الله بن عبد الله بن عتبة عن عبد الله بن عباس قال أقبلت راكبا على حمار أتان وأنا يومئذ قد ناهزت الاحتلام ورسول الله صلى الله عليه وسلم يصلي بمنى إلى غير جدار فمررت بين يدى بعض الصف وأرسلت الأتان ترتع فدخلت في الصف فلم ينكر ذلك على,3.0,Knowledge - كتاب العلم,صعب,أقبلت راكبا على حمار أتان وأنا يومئذ قد ناهزت الاحتلام ورسول الله صلى الله عليه وسلم يصلي بمنى إلى غير جدار فمررت بين يدى بعض الصف وأرسلت الأتان ترتع فدخلت في الصف فلم ينكر ذلك على,303.0,188
حدثني محمد بن يوسف قال حدثنا أبو مسهر قال حدثني محمد بن حرب حدثني الزبيدي عن الزهري عن محمود بن الربيع قال عقلت من النبي صلى الله عليه وسلم مجة مجها في وجهي وأنا ابن خمس سنين من دلو,3.0,Knowledge - كتاب العلم,صعب,عقلت من النبي صلى الله عليه وسلم مجة مجها في وجهي وأنا ابن خمس سنين من دلو,190.0,77
حدثنا أبو القاسم خالد بن خلي قال حدثنا محمد بن حرب قال قال الأوزاعي أخبرنا الزهري عن عبيد الله بن عبد الله بن عتبة بن مسعود عن ابن عباس أنه تمارى هو والحر بن قيس بن حصن الفزاري في صاحب موسى فمر بهما أبى بن كعب فدعاه ابن عباس فقال إني تماريت أنا وصاحبي هذا في صاحب موسى الذي سأل السبيل إلى لقيه هل سمعت رسول الله صلى الله عليه وسلم يذكر شأنه فقال أبى نعم سمعت النبي صلى الله عليه وسلم يذكر شأنه يقول  بينما موسى في ملإ من بني إسرائيل إذ جاءه رجل فقال أتعلم أحدا أعلم منك قال موسى لا فأوحى الله عز وجل إلى موسى بلى عبدنا خضر فسأل السبيل إلى لقيه فجعل الله له الحوت آية وقيل له إذا فقدت الحوت فارجع فإنك ستلقاه فكان موسى صلى الله عليه وسلم يتبع أثر الحوت في البحر فقال فتى موسى لموسى أرأيت إذ أوينا إلى الصخرة فإني نسيت الحوت وما أنسانيه إلا الشيطان أن أذكره قال موسى ذلك ما كنا نبغي فارتدا على آثارهما قصصا فوجدا خضرا فكان من شأنهما ما قص الله في كتابه ,3.0,Knowledge - كتاب العلم,صعب,يذكر شأنه يقول  بينما موسى في ملإ من بني إسرائيل إذ جاءه رجل فقال أتعلم أحدا أعلم منك قال موسى لا فأوحى الله عز وجل إلى موسى بلى عبدنا خضر فسأل السبيل إلى لقيه فجعل الله له الحوت آية وقيل له إذا فقدت الحوت فارجع فإنك ستلقاه فكان موسى صلى الله عليه وسلم يتبع أثر الحوت في البحر فقال فتى موسى لموسى أرأيت إذ أوينا إلى الصخرة فإني نسيت الحوت وما أنسانيه إلا الشيطان أن أذكره قال موسى ذلك ما كنا نبغي فارتدا على آثارهما قصصا فوجدا خضرا فكان من شأنهما ما قص الله في كتابه ,891.0,498
حدثنا محمد بن العلاء قال حدثنا حماد بن أسامة عن بريد بن عبد الله عن أبي بردة عن أبي موسى عن النبي صلى الله عليه وسلم قال  مثل ما بعثني الله به من الهدى والعلم كمثل الغيث الكثير أصاب أرضا فكان منها نقية قبلت الماء فأنبتت الكلأ والعشب الكثير وكانت منها أجادب أمسكت الماء فنفع الله بها الناس فشربوا وسقوا وزرعوا وأصابت منها طائفة أخرى إنما هي قيعان لا تمسك ماء ولا تنبت كلأ فذلك مثل من فقه في دين الله ونفعه ما بعثني الله به فعلم وعلم ومثل من لم يرفع بذلك رأسا ولم يقبل هدى الله الذي أرسلت به  قال أبو عبد الله قال إسحاق وكان منها طائفة قيلت الماء قاع يعلوه الماء والصفصف المستوي من الأرض,3.0,Knowledge - كتاب العلم,صعب, مثل ما بعثني الله به من الهدى والعلم كمثل الغيث الكثير أصاب أرضا فكان منها نقية قبلت الماء فأنبتت الكلأ والعشب الكثير وكانت منها أجادب أمسكت الماء فنفع الله بها الناس فشربوا وسقوا وزرعوا وأصابت منها طائفة أخرى إنما هي قيعان لا تمسك ماء ولا تنبت كلأ فذلك مثل من فقه في دين الله ونفعه ما بعثني الله به فعلم وعلم ومثل من لم يرفع بذلك رأسا ولم يقبل هدى الله الذي أرسلت به ,618.0,387
حدثنا عمران بن ميسرة قال حدثنا عبد الوارث عن أبي التياح عن أنس قال قال رسول الله صلى الله عليه وسلم  إن من أشراط الساعة أن يرفع العلم ويثبت الجهل ويشرب الخمر ويظهر الزنا ,3.0,Knowledge - كتاب العلم,سهل, إن من أشراط الساعة أن يرفع العلم ويثبت الجهل ويشرب الخمر ويظهر الزنا ,186.0,79
حدثنا مسدد قال حدثنا يحيى عن شعبة عن قتادة عن أنس قال لأحدثنكم حديثا لا يحدثكم أحد بعدي سمعت رسول الله صلى الله عليه وسلم يقول  من أشراط الساعة أن يقل العلم ويظهر الجهل ويظهر الزنا وتكثر النساء ويقل الرجال حتى يكون لخمسين امرأة القيم الواحد ,3.0,Knowledge - كتاب العلم,سهل, من أشراط الساعة أن يقل العلم ويظهر الجهل ويظهر الزنا وتكثر النساء ويقل الرجال حتى يكون لخمسين امرأة القيم الواحد ,259.0,124
حدثنا سعيد بن عفير قال حدثني الليث قال حدثني عقيل عن ابن شهاب عن حمزة بن عبد الله بن عمر أن ابن عمر قال سمعت رسول الله صلى الله عليه وسلم قال  بينا أنا نائم أتيت بقدح لبن فشربت حتى إني لأرى الري يخرج في أظفاري ثم أعطيت فضلي عمر بن الخطاب  قالوا فما أولته يا رسول الله قال  العلم ,3.0,Knowledge - كتاب العلم,صعب, بينا أنا نائم أتيت بقدح لبن فشربت حتى إني لأرى الري يخرج في أظفاري ثم أعطيت فضلي عمر بن الخطاب  قالوا فما أولته يا رسول الله قال  العلم ,305.0,154
حدثنا إسماعيل قال حدثني مالك عن ابن شهاب عن عيسى بن طلحة بن عبيد الله عن عبد الله بن عمرو بن العاص أن رسول الله صلى الله عليه وسلم وقف في حجة الوداع بمنى للناس يسألونه فجاءه رجل فقال لم أشعر فحلقت قبل أن أذبح فقال  اذبح ولا حرج  فجاء آخر فقال لم أشعر فنحرت قبل أن أرمي قال  ارم ولا حرج  فما سئل النبي صلى الله عليه وسلم عن شىء قدم ولا أخر إلا قال افعل ولا حرج,3.0,Knowledge - كتاب العلم,صعب,وقف في حجة الوداع بمنى للناس يسألونه فجاءه رجل فقال لم أشعر فحلقت قبل أن أذبح فقال  اذبح ولا حرج  فجاء آخر فقال لم أشعر فنحرت قبل أن أرمي قال  ارم ولا حرج  فما سئل النبي صلى الله عليه وسلم عن شىء قدم ولا أخر إلا قال افعل ولا حرج,393.0,257
حدثنا موسى بن إسماعيل قال حدثنا وهيب قال حدثنا أيوب عن عكرمة عن ابن عباس أن النبي صلى الله عليه وسلم سئل في حجته فقال ذبحت قبل أن أرمي فأومأ بيده قال ولا حرج قال حلقت قبل أن أذبح فأومأ بيده ولا حرج,3.0,Knowledge - كتاب العلم,صعب,سئل في حجته فقال ذبحت قبل أن أرمي فأومأ بيده قال ولا حرج قال حلقت قبل أن أذبح فأومأ بيده ولا حرج,212.0,106
حدثنا المكي بن إبراهيم قال أخبرنا حنظلة بن أبي سفيان عن سالم قال سمعت أبا هريرة عن النبي صلى الله عليه وسلم قال  يقبض العلم ويظهر الجهل والفتن ويكثر الهرج  قيل يا رسول الله وما الهرج فقال هكذا بيده فحرفها كأنه يريد القتل,3.0,Knowledge - كتاب العلم,سهل, يقبض العلم ويظهر الجهل والفتن ويكثر الهرج  قيل يا رسول الله وما الهرج فقال هكذا بيده فحرفها كأنه يريد القتل,240.0,121
حدثنا موسى بن إسماعيل قال حدثنا وهيب قال حدثنا هشام عن فاطمة عن أسماء قالت أتيت عائشة وهي تصلي فقلت ما شأن الناس فأشارت إلى السماء فإذا الناس قيام فقالت سبحان الله قلت آية فأشارت برأسها أى نعم فقمت حتى تجلاني الغشى فجعلت أصب على رأسي الماء فحمد الله عز وجل النبي صلى الله عليه وسلم وأثنى عليه ثم قال  ما من شىء لم أكن أريته إلا رأيته في مقامي حتى الجنة والنار فأوحي إلى أنكم تفتنون في قبوركم مثل أو قريبا لا أدري أى ذلك قالت أسماء من فتنة المسيح الدجال يقال ما علمك بهذا الرجل فأما المؤمن أو الموقن لا أدري بأيهما قالت أسماء فيقول هو محمد رسول الله جاءنا بالبينات والهدى فأجبنا واتبعنا هو محمد ثلاثا فيقال نم صالحا قد علمنا إن كنت لموقنا به وأما المنافق أو المرتاب لا أدري أى ذلك قالت أسماء فيقول لا أدري سمعت الناس يقولون شيئا فقلته ,3.0,Knowledge - كتاب العلم,صعب,أتيت عائشة وهي تصلي فقلت ما شأن الناس فأشارت إلى السماء فإذا الناس قيام فقالت سبحان الله قلت آية فأشارت برأسها أى نعم فقمت حتى تجلاني الغشى فجعلت أصب على رأسي الماء فحمد الله عز وجل النبي صلى الله عليه وسلم وأثنى عليه ثم قال  ما من شىء لم أكن أريته إلا رأيته في مقامي حتى الجنة والنار فأوحي إلى أنكم تفتنون في قبوركم مثل أو قريبا لا أدري أى ذلك قالت أسماء من فتنة المسيح الدجال يقال ما علمك بهذا الرجل فأما المؤمن أو الموقن لا أدري بأيهما قالت أسماء فيقول هو محمد رسول الله جاءنا بالبينات والهدى فأجبنا واتبعنا هو محمد ثلاثا فيقال نم صالحا قد علمنا إن كنت لموقنا به وأما المنافق أو المرتاب لا أدري أى ذلك قالت أسماء فيقول لا أدري سمعت الناس يقولون شيئا فقلته ,770.0,690
حدثنا محمد بن بشار قال حدثنا غندر قال حدثنا شعبة عن أبي جمرة قال كنت أترجم بين ابن عباس وبين الناس فقال إن وفد عبد القيس أتوا النبي صلى الله عليه وسلم فقال  من الوفد أو من القوم  قالوا ربيعة فقال  مرحبا بالقوم أو بالوفد غير خزايا ولا ندامى  قالوا إنا نأتيك من شقة بعيدة وبيننا وبينك هذا الحى من كفار مضر ولا نستطيع أن نأتيك إلا في شهر حرام فمرنا بأمر نخبر به من وراءنا ندخل به الجنة فأمرهم بأربع ونهاهم عن أربع أمرهم بالإيمان بالله عز وجل وحده قال  هل تدرون ما الإيمان بالله وحده  قالوا الله ورسوله أعلم قال  شهادة أن لا إله إلا الله وأن محمدا رسول الله وإقام الصلاة وإيتاء الزكاة وصوم رمضان وتعطوا الخمس من المغنم  ونهاهم عن الدباء والحنتم والمزفت قال شعبة ربما قال النقير وربما قال المقير قال  احفظوه وأخبروه من وراءكم ,3.0,Knowledge - كتاب العلم,صعب, من الوفد أو من القوم  قالوا ربيعة فقال  مرحبا بالقوم أو بالوفد غير خزايا ولا ندامى  قالوا إنا نأتيك من شقة بعيدة وبيننا وبينك هذا الحى من كفار مضر ولا نستطيع أن نأتيك إلا في شهر حرام فمرنا بأمر نخبر به من وراءنا ندخل به الجنة فأمرهم بأربع ونهاهم عن أربع أمرهم بالإيمان بالله عز وجل وحده قال  هل تدرون ما الإيمان بالله وحده  قالوا الله ورسوله أعلم قال  شهادة أن لا إله إلا الله وأن محمدا رسول الله وإقام الصلاة وإيتاء الزكاة وصوم رمضان وتعطوا الخمس من المغنم  ونهاهم عن الدباء والحنتم والمزفت قال شعبة ربما قال النقير وربما قال المقير قال  احفظوه وأخبروه من وراءكم ,797.0,637
حدثنا محمد بن مقاتل أبو الحسن قال أخبرنا عبد الله قال أخبرنا عمر بن سعيد بن أبي حسين قال حدثني عبد الله بن أبي مليكة عن عقبة بن الحارث أنه تزوج ابنة لأبي إهاب بن عزيز فأتته امرأة فقالت إني قد أرضعت عقبة والتي تزوج بها فقال لها عقبة ما أعلم أنك أرضعتني ولا أخبرتني فركب إلى رسول الله صلى الله عليه وسلم بالمدينة فسأله فقال رسول الله صلى الله عليه وسلم  كيف وقد قيل  ففارقها عقبة ونكحت زوجا غيره,3.0,Knowledge - كتاب العلم,سهل,فأتته امرأة فقالت إني قد أرضعت عقبة والتي تزوج بها فقال لها عقبة ما أعلم أنك أرضعتني ولا أخبرتني فركب إلى رسول الله صلى الله عليه وسلم بالمدينة فسأله فقال رسول الله صلى الله عليه وسلم  كيف وقد قيل  ففارقها عقبة ونكحت زوجا غيره,419.0,246
