,Final_matn,matn_length,chapter_no,chapter,level
25,سئل حجت ذبح ارم أومأ بيد حرج حلق ذبح أومأ بيد حرج,106,3,Knowledge - كتاب العلم,صعب
26,قبض علم ظهر جهل فتن كثر هرج قيل هرج بيد حرف كأن يرد قتل,121,3,Knowledge - كتاب العلم,سهل
27,اتت عئش وهي تصل فقل شأن ناس أشر سمء ناس قيم فقل اية أشر رأس فقم تجل غشى جعل اصب رأس ماء حمد عز وجل نبي أثنى شىء اكن ارت رأت قمي جنة نار فأح نكم تفت قبر قرب ادر سمء فتن سيح دجل يقل علم بهذا رجل فأم ؤمن وقن ادر بأه سمء يقل حمد جاء بين هدى أجب تبع حمد ثلث يقل نم صلح علم كنت لمق وأم نفق رتب ادر سمء يقل ادر ناس يقل شيئ فقل,690,3,Knowledge - كتاب العلم,صعب
28,وفد قوم قال ربع رحب قوم وفد خزا دمى قال نأت شقة بعد وبن وبن لحى كفر مضر تطع نأت شهر حرم فمر أمر خبر ورء دخل جنة أمر أربع ونه امر ايم بلل عز وجل وحد تدر ايم بلل وحد قال رسل شهد اله وأن حمد إقم صلة إيتاء زكة وصم رمض تعط خمس غنم ونه دبء حنتم زفت شعب ربم نقر ورب قير حفظو أخبرو ورء,637,3,Knowledge - كتاب العلم,صعب
29,فأت مرأ فقل رضع عقب والتي تزج عقب انك رضع خبر ركب دين سأل قيل فرق عقب نكح زوج غير,246,3,Knowledge - كتاب العلم,سهل
30,كنت وجر صار بني امة زيد وهى علي دين وكن نوب نزل نزل يوم أنزل يوم نزل جئت خبر وحى وغر نزل فعل نزل صحب صار يوم نوب ضرب ببي ضرب شدد اثم فزع خرج اله حدث امر عظم دخل حفص تبك فقل طلق ادر دخل نبي فقل وأن قئم طلق نسء فقل كبر,507,3,Knowledge - كتاب العلم,صعب
31,رجل اكد ادر صلة يطل فما رأت نبي وعظ اشد غضب مئذ ناس نكم نفر ناس خفف يهم ريض ضعف وذا حجة,220,3,Knowledge - كتاب العلم,سهل
32,نبي سأل رجل لقط عرف وكء وعء عفص عرف سنة متع جاء ربه فأد اله فضل ابل غضب حمر وجن حمر وجه وله عها سقؤ حذؤ ترد ماء رعى شجر فذر يلق ربه فضل غنم لأخ ذئب,352,3,Knowledge - كتاب العلم,صعب
33,سئل نبي شيء كره فلم غضب ناس سلو شئتم رجل ابي ابك حذف فقم اخر ابي ابك سلم ولى شيب فلم عمر وجه نتب عز وجل,284,3,Knowledge - كتاب العلم,صعب
34,خرج فقم عبد حذف ابي ابك حذف سلو فبر عمر ركب رضي بلل ربا وبالإسلام دين حمد نبا فسك,197,3,Knowledge - كتاب العلم,صعب
35,سلم سلم ثلث كلم كلم اعد ثلث,54,3,Knowledge - كتاب العلم,سهل
36,كلم كلم اعد ثلث فهم اتى قوم سلم علي سلم علي ثلث,92,3,Knowledge - كتاب العلم,سهل
37,خلف سفر سفر أدر رهق صلة صلة عصر ونح وضأ جعل مسح رجل ندى أعلى صوت ويل عقب نار مرت ثلث,188,3,Knowledge - كتاب العلم,سهل
38,اجر رجل اهل كتب امن بنب وآم حمد عبد ملك ادى حق وحق ولي رجل عند امة يطؤ أدب أحس أدب علم أحس علم عتق تزج فله اجر عمر اعط بغر شىء ركب دون دين,299,3,Knowledge - كتاب العلم,صعب
39,خرج ومع بلل فظن سمع نسء وعظ أمر صدق جعل رأة تلق قرط ختم بلل أخذ طرف ثوب,120,3,Knowledge - كتاب العلم,صعب
40,سعد ناس شفع يوم قيم ظنن هرر سأل حدث منك رأت حرص حدث سعد ناس شفع يوم قيم اله خلص قلب نفس,245,3,Knowledge - كتاب العلم,سهل
41,قبض علم نزع نزع عبد قبض علم قبض علماء يبق عال ناس رءس جهل سئل فأف بغر فضل أضل,168,3,Knowledge - كتاب العلم,صعب
42,نسء نبي غلب رجل جعل يوم نفس وعد يوم لقي وعظ أمر فكان نكن مرأ قدم ولد حجب نار فقل مرأ وثن وثن,251,3,Knowledge - كتاب العلم,سهل
43,بلغ حنث,29,3,Knowledge - كتاب العلم,صعب
44,عئش زوج نبي سمع شيئ عرف رجع عرف وأن نبي حوسب عذب عئش فقل على فسف حسب حسب يسر عرض وقش حسب يهل,273,3,Knowledge - كتاب العلم,سهل
45,عمرو سعد بعث بعث مكة ائذ امر حدث قول نبي لغد يوم فتح سمع ذنى وعه قلب أبصر عيناى كلم حمد أثنى مكة حرم ولم حرم ناس يحل مرئ يؤم بلل يوم اخر يسف دما عضد شجر رخص قتل فقل اذن رسل ولم يأذ اذن سعة نهر عدت حرم كحرم امس بلغ شهد غئب فقل لأب شرح عمرو منك شرح يعذ عاص فرا بدم فرا خرب,617,3,Knowledge - كتاب العلم,صعب
46,دمء أموال حمد أحسب أعراض علي حرم كحرم يوم شهر بلغ شهد نكم غئب حمد صدق بلغ مرت,211,3,Knowledge - كتاب العلم,سهل
47,كذب فإن كذب يلج نار,50,3,Knowledge - كتاب العلم,سهل
48,سمع حدث وفل فرق سمع كذب تبأ قعد نار,155,3,Knowledge - كتاب العلم,سهل
49,منع حدث حدث نبي عمد كذب تبأ قعد نار,116,3,Knowledge - كتاب العلم,سهل
50,يقل تبأ قعد نار,51,3,Knowledge - كتاب العلم,سهل
51,عمل نيت مرئ نوى هجر دنا يصب مرأ نكح هجر هجر اله,119,1,Revelation - كتاب بدء الوحى,صعب
52,يأت صلصل جرس اشد فصم وعت وأح مثل ملك رجل كلم فأع عئش رأت نزل وحى شدد برد فصم جبن فصد عرق,237,1,Revelation - كتاب بدء الوحى,صعب
53,انه بدئ وحى رؤا صلح نوم فكان يرى رؤا جءت فلق صبح حبب اله خلء خلو بغر حرء حنث عبد ليل ذوت عدد نزع اهل تزد لذلك رجع خدج تزد مثل جءه لحق غار حرء فجء ملك قرأ قرئ أخذ فغط بلغ مني جهد رسل قرأ قرئ أخذ فغط ثني بلغ مني جهد رسل قرأ فقل قرئ أخذ فغط ثلث رسل قرأ بسم ربك خلق خلق انس قرأ ورب كرم رجع رجف فؤد دخل خدج خويلد زملو زملو زملو روع خدج أخبر خبر خشت نفس فقل خدج ولل يخز انك تصل رحم حمل لكل كسب عدم تقر ضيف وتع نئب لحق طلق خدج اتت ورق وفل اسد عبد عزى خدج مرأ نصر جهل كتب كتب عبر كتب جيل عبر شاء كتب شيخ كبر عمي فقل خدج اخك ورق اخي ترى أخبر خبر ورق نمس نزل وسى ليت جذع ليت اكن حيا خرج قوم خرج يأت رجل مثل جئت عود يدر يوم صرك نصر ؤزر نشب ورق توف فتر وحى,1589,1,Revelation - كتاب بدء الوحى,صعب
54,بين امش صوت سمء رفع بصر ملك جاء حرء جلس كرس سمء ارض رعب رجع فقل زملو أنزل على دثر قم أنذر قول رجز هجر فحم وحى تبع زهر وقل ونس عمر بدر,289,1,Revelation - كتاب بدء الوحى,صعب
55,قول على تحر لسن عجل علج نزل شدة يحر شفت عبس فأن احر يحر وقل سعد احر رأت عبس يحر فحر شفت أنزل على تحر لسن عجل علي جمع قرآ جمع صدر قرأ قرأ تبع قرآ سمع أنص علي بين علي قرأ فكان اته جبريل سمع طلق جبريل قرأ نبي قرأ,585,1,Revelation - كتاب بدء الوحى,صعب
56,اجد ناس اجد يكون رمض يلق جبريل يلق ليل رمض درس قرآ رسل اجد خير ريح رسل,198,1,Revelation - كتاب بدء الوحى,سهل
57,هرقل رسل اله ركب قرش وكن جرا شأم مدة ماد سفي كفر قرش أتو وهم إيلياء فدع جلس وحل عظماء روم دعا ودع بترجمانه يكم قرب نسب بهذا رجل زعم نبي سفي فقل قرب نسب دنو مني قرب صحب جعلو ظهر لترجمانه قل سئل رجل كذب كذبو فلل حيء أثر كذب كذب سأل نسب يكم فين نسب فهل قول نكم قبل فهل بئه ملك أشراف ناس بعو ضعفاؤ فقل ضعفاؤ يزد نقص يزد فهل رتد نهم سخط لدن دخل فهل كنتم همو كذب فهل غدر ونح مدة ندر فعل ولم تمك كلم دخل شيئ كلم فهل قاتلتموه فكف قتل حرب بين وبن سجل ينل منا ننل أمر عبد وحد تشر شيئ وتر ابؤ أمر صلة صدق عفف صلة رجم قل سأل نسب ذكر يكم نسب كذل رسل بعث نسب قوم سأل نكم قول ذكر فقل قول قبل لقل رجل أسي بقل قيل قبل سأل بئه ملك ذكر فلو بئه ملك رجل طلب ملك ابه سأل كنتم همو كذب ذكر فقد عرف يكن يذر كذب ناس كذب سأل شرف ناس بعو ضعفاؤ ذكر ضعفاء بعو وهم تبع رسل سأل يزد نقص ذكر نهم يزد كذل امر ايم يتم سأل رتد سخط لدن دخل ذكر كذل ايم خلط بشش قلب سأل غدر ذكر كذل رسل غدر سأل أمر ذكر أمر عبد تشر شيئ وين عبد اوث أمر صلة صدق عفف تقل يمل وضع قدمى كنت خرج اكن اظن نكم فلو اني اني خلص اله جشم لقء كنت عند غسل قدم دعا كتب بعث دحة عظم صرى دفع هرقل قرأ بسم رحم رحم حمد عبد رسل هرقل عظم روم سلم تبع هدى فإن دعو بدع سلم سلم سلم يؤت اجر مرت ولت اثم ارس ويا اهل كتب تعل كلم سوء بين وبن عبد نشر شيئ تخذ بعض بعض ربب تول فقل شهد بأن سلم سفي فلم فرغ قرء كتب كثر عند صخب رفع اصو أخرج فقل أصحاب خرج امر امر ابي كبش يخف ملك بني صفر فما زلت موق ظهر دخل سلم نظر صحب ليء هرقل سقف صرى شأم هرقل قدم ليء يوم خبث نفس طرق نكر هيئ نظر هرقل حزء نظر نجم ألو رأت ليل نظر نجم ملك ختن ظهر يخت امة قال يخت يهد يهم شأن كتب مدا لكك قتل يهم يهد فبن امر اتي هرقل رجل رسل ملك غسن خبر خبر فلم خبر هرقل ذهب نظر امخ نظر اله حدثو مخت سأل عرب ختن هرقل ملك امة ظهر كتب هرقل صحب برم نظر علم وسر هرقل حمص فلم يرم حمص اته كتب صحب يفق هرقل خرج نبي وأن نبي فأذ هرقل عظماء روم دسكر حمص امر أبواب غلق طلع عشر روم فلح رشد وأن يثب ملك بيع نبي فحص حيص حمر وحش بوب جدو غلق فلم هرقل نفر وأس ايم ردو وقل قلت خبر شدت دين فقد رأت سجد ورض فكان اخر شأن هرقل روه صلح كيس ونس عمر زهر,4082,1,Revelation - كتاب بدء الوحى,صعب
58,بني سلم شهد اله وأن حمد إقم صلة إيتاء زكة لحج وصم رمض,112,2,Belief - كتاب الإيمان,سهل
59,ايم وست شعب حيء شعب ايم,54,2,Belief - كتاب الإيمان,سهل
60,سلم سلم سلم لسن ويد هجر هجر نهى,76,2,Belief - كتاب الإيمان,سهل
61,قال سلم فضل سلم سلم لسن ويد,75,2,Belief - كتاب الإيمان,سهل
62,رجل سأل نبي سلم خير طعم طعم قرأ سلم عرف عرف,117,2,Belief - كتاب الإيمان,سهل
63,يؤم احد يحب لأخ يحب نفس,47,2,Belief - كتاب الإيمان,سهل
64,فلذ نفس بيد يؤم احد اكن احب اله ولد ولد,70,2,Belief - كتاب الإيمان,سهل
65,يؤم احد اكن احب اله ولد ولد ناس جمع,62,2,Belief - كتاب الإيمان,سهل
66,حلو ايم يكون رسل احب اله سوه وأن يحب مرء يحب لله وأن يكر يعد كفر يكر قذف نار,163,2,Belief - كتاب الإيمان,سهل
67,اية ايم حب صار وآة نفق بغض صار,56,2,Belief - كتاب الإيمان,سهل
68,يعو تشر بلل شيئ سرق تزن قتل ولد تأت ببه فرو ايد أرجل تعص عرف وفى نكم أجر اصب شيئ عوقب دنا فهو كفر اصب شيئ ستر فهو شاء عفا شاء عقب,308,2,Belief - كتاب الإيمان,سهل
69,يوش يكون خير مال سلم غنم تبع شعف جبل وقع قطر يفر بدن فتن,93,2,Belief - كتاب الإيمان,صعب
70,امر امر عمل يطق قال كهئ غفر قدم ذنب أخر غضب عرف غضب وجه اتق أعلم بلل,228,2,Belief - كتاب الإيمان,سهل
71,حلو ايم رسل احب اله سوه احب عبد يحب لله يكر يعد كفر قذه يكر لقى نار,180,2,Belief - كتاب الإيمان,سهل
72,دخل اهل جنة جنة أهل نار نار على خرج قلب ثقل حبة خردل ايم خرج اسد يلق نهر حيا حية شك الك ينب تنب حبة جنب سيل الم تر انه خرج صفراء لتي وهب عمرو حية وقل خردل خير,312,2,Belief - كتاب الإيمان,صعب
73,بين نئم رأت ناس عرض وعل قمص بلغ ثدي ومن عرض عمر خطب وعل قمص يجر قال فما اول دين,184,2,Belief - كتاب الإيمان,سهل
74,دعه حيء ايم,25,2,Belief - كتاب الإيمان,سهل
75,امر قتل ناس شهد اله وأن حمد يقم صلة ويؤ زكة فعل عصم مني دمء أموال بحق سلم حسب,183,2,Belief - كتاب الإيمان,سهل
76,سئل عمل فضل ايم بلل رسل قيل جهد سبل قيل حج برر,167,2,Belief - كتاب الإيمان,سهل
77,رهط سعد جلس فتر رجل عجب فقل فلل لأر مؤم مسل فسك قلل غلب فعد قال فقل فلل لأر مؤم مسل غلب فعد قال وعد سعد أعط رجل وغر احب خشة يكب نار ورا ونس صلح عمر وبن اخي زهر زهر,509,2,Belief - كتاب الإيمان,سهل
78,رجل سأل سلم خير طعم طعم قرأ سلم عرف عرف,118,2,Belief - كتاب الإيمان,سهل
79,ارت نار اهل نسء كفر قيل كفر بلل كفر عشر كفر احس احس احد دهر رأت منك شيئ رأت منك خير,175,2,Belief - كتاب الإيمان,سهل
80,ذر اعر بأم انك مرؤ فيك جهل خون خول جعل ايد اخه يده طعم أكل لبس لبس كلفو غلب كلفتمو أعينو,189,2,Belief - كتاب الإيمان,صعب
81,تقى سلم بسف قتل قتل نار فقل قتل فما بال قتل حرص قتل صحب,150,2,Belief - كتاب الإيمان,سهل
82,نبي غسل غسل صاع مدد وضأ لمد,85,4,Ablutions (Wudu') - كتاب الوضوء,صعب
83,نبي مسح خفن وأن عبد عمر سأل عمر حدث شيئ سعد نبي سأل غير وقل وسى عقب نضر سلم خبر سعد حدث عمر عبد نحه,253,4,Ablutions (Wudu') - كتاب الوضوء,صعب
84,خرج لحج تبع غير إدو ماء فصب فرغ حجت وضأ مسح خفن,129,4,Ablutions (Wudu') - كتاب الوضوء,سهل
85,نه نبي مسح خفن,48,4,Ablutions (Wudu') - كتاب الوضوء,سهل
86,رأت نبي مسح عمم وخف,56,4,Ablutions (Wudu') - كتاب الوضوء,سهل
87,كنت نبي سفر أهو أنزع خفه دعه فإن دخل طهر مسح عله,117,4,Ablutions (Wudu') - كتاب الوضوء,سهل
88,اكل كتف شاة ولم وضأ,66,4,Ablutions (Wudu') - كتاب الوضوء,سهل
89,حتز كتف شاة فدع صلة ألقى سكن صلى ولم وضأ,101,4,Ablutions (Wudu') - كتاب الوضوء,سهل
90,خرج عام خيبر كان صهباء وهي دنى خيبر صلى عصر دعا زود فلم يؤت سوق أمر فثر أكل أكل غرب ضمض ضمض ولم وضأ,247,4,Ablutions (Wudu') - كتاب الوضوء,صعب
91,نبي اكل عند كتف ولم وضأ,63,4,Ablutions (Wudu') - كتاب الوضوء,سهل
92,شرب لبن ضمض وقل دسم,73,4,Ablutions (Wudu') - كتاب الوضوء,سهل
93,نعس احد يصل رقد ذهب نوم احد نعس يدر لعل غفر يسب نفس,108,4,Ablutions (Wudu') - كتاب الوضوء,صعب
94,نعس احد صلة ينم علم قرأ,55,4,Ablutions (Wudu') - كتاب الوضوء,سهل
95,نبي وضأ صلة كنتم صنع جزئ احد وضء,105,4,Ablutions (Wudu') - كتاب الوضوء,سهل
96,خرج عام خيبر كنا صهباء عصر فلم دعا طعم فلم يؤت سوق أكل شرب نبي غرب ضمض غرب ولم وضأ,253,4,Ablutions (Wudu') - كتاب الوضوء,سهل
97,مر نبي بحط حيط دين مكة سمع صوت سان عذب قبر نبي عذب عذب كبر احد ستر بول اخر يمش نمم دعا جرد كسر كسر وضع قبر منه كسر فقل فعل لعل خفف يبس يبس,391,4,Ablutions (Wudu') - كتاب الوضوء,صعب
98,نبي برز لحج اتت بمء غسل,67,4,Ablutions (Wudu') - كتاب الوضوء,سهل
99,مر نبي قبر انه عذب عذب كبر احد فكان ستر بول وأم اخر فكان يمش نمم جرد رطب فشق نصف غرز قبر وحد قال فعل لعل خفف يبس ثنى وكع عمش جهد ثله ستر بول,370,4,Ablutions (Wudu') - كتاب الوضوء,صعب
100,نبي عرب يبل سجد دعه فرغ دعا بمء فصب,109,4,Ablutions (Wudu') - كتاب الوضوء,سهل
101,عرب فبل سجد نول ناس نبي دعه هرق بول سجل ماء ذنب ماء فإن بعث يسر ولم بعث عسر,175,4,Ablutions (Wudu') - كتاب الوضوء,سهل
102,جاء عرب فبل طئف سجد زجر ناس فنه نبي فلم قضى بول امر نبي ذنب ماء أهريق,154,4,Ablutions (Wudu') - كتاب الوضوء,سهل
103,اتي بصب فبل ثوب فدع بمء أتبع,78,4,Ablutions (Wudu') - كتاب الوضوء,سهل
104,انه اتت ببن صغر أكل طعم أجلس حجر فبل ثوب فدع بمء نضح ولم غسل,161,4,Ablutions (Wudu') - كتاب الوضوء,سهل
105,اتى نبي سبط قوم فبل قائ دعا بمء فجئ بمء وضأ,80,4,Ablutions (Wudu') - كتاب الوضوء,صعب
106,رأت نبي مشى أتى سبط قوم حئط فقم يقم احد فبل نبذ أشر فجئ فقم عقب فرغ,151,4,Ablutions (Wudu') - كتاب الوضوء,صعب
107,وسى شعر شدد بول يقل بني رائيل اصب ثوب احد قرض حذف ليت امس اتى سبط قوم فبل قائ,165,4,Ablutions (Wudu') - كتاب الوضوء,صعب
108,جءت مرأ نبي فقل ارأ احد تحض ثوب صنع تحت قرص ماء نضح تصل,132,4,Ablutions (Wudu') - كتاب الوضوء,صعب
109,جءت فطم ابن ابي حبش نبي فقل مرأ حاض طهر أدع صلة عرق وليس بحض قبل حيض فدع صلة دبر غسل عنك لدم صلي وقل ابي وضئ صلة يجء وقت,312,4,Ablutions (Wudu') - كتاب الوضوء,صعب
110,عئش كنت غسل جنب ثوب نبي خرج صلة بقع ماء ثوب,104,4,Ablutions (Wudu') - كتاب الوضوء,سهل
111,سأل عئش مني يصب ثوب فقل كنت غسل ثوب خرج صلة أثر غسل ثوب بقع ماء,133,4,Ablutions (Wudu') - كتاب الوضوء,صعب
112,عئش كنت غسل ثوب خرج صلة أثر غسل بقع ماء,104,4,Ablutions (Wudu') - كتاب الوضوء,سهل
113,عئش انه غسل مني ثوب نبي اره بقع بقع,91,4,Ablutions (Wudu') - كتاب الوضوء,سهل
114,قدم انس عكل عرن جتو دين أمر نبي لقح وأن شرب بول ألب طلق فلم صحا قتل رعي نبي ساق نعم فجء خبر نهر بعث اثر فلم رفع نهر جيء أمر قطع ايد أرجل سمر اعن ألق حرة سسق يسق قلب هؤلاء سرق قتل كفر يمن حرب رسل,408,4,Ablutions (Wudu') - كتاب الوضوء,صعب
115,نبي يصل بنى سجد ربض غنم,70,4,Ablutions (Wudu') - كتاب الوضوء,صعب
116,سئل فأر سقط سمن لقو حول طرحو وكل سمن,111,4,Ablutions (Wudu') - كتاب الوضوء,سهل
117,نبي سئل فأر سقط سمن خذو حول طرحو,91,4,Ablutions (Wudu') - كتاب الوضوء,سهل
118,كلم كلم سلم سبل يكون يوم قيم كهئ طعن فجر دما لون لون لدم عرف عرف مسك,118,4,Ablutions (Wudu') - كتاب الوضوء,صعب
119,اخر سبق,27,4,Ablutions (Wudu') - كتاب الوضوء,سهل
120,يبل احد ماء دئم يجر غسل,66,4,Ablutions (Wudu') - كتاب الوضوء,سهل
121,نبي يصل بيت أبو جهل أصحاب جلس بعض بعض يكم يجء سلى جزر بني يضع ظهر حمد سجد بعث شقى قوم فجء نظر سجد نبي وضع ظهر كتف وأن نظر اغر شيئ نعة جعل يضح يحل بعض رسل سجد رفع رأس جءت فطم طرح ظهر رفع رأس لهم قرش رات فشق علي دعا علي وكن يرن دعة بلد جاب سمى لهم بأب جهل وعل عتب ربع وشب ربع ولد عتب وأم عقب ابي عيط,649,4,Ablutions (Wudu') - كتاب الوضوء,صعب
122,بزق نبي ثوب,43,4,Ablutions (Wudu') - كتاب الوضوء,صعب
123,شرب سكر فهو حرم,28,4,Ablutions (Wudu') - كتاب الوضوء,سهل
124,سأل ناس بين وبن بأى شىء دوي جرح نبي بقي مني علي يجء ترس ماء فطم غسل وجه لدم أخذ حصر أحرق فحش جرح,187,4,Ablutions (Wudu') - كتاب الوضوء,صعب
125,اتت نبي وجد يست بسا بيد اع اع سوك كأن تهع,102,4,Ablutions (Wudu') - كتاب الوضوء,سهل
126,نبي ليل يشص فاه سوك,65,4,Ablutions (Wudu') - كتاب الوضوء,صعب
127,ارا تسو بسا فجء رجل احد كبر اخر نول سوك صغر منه فقل كبر دفع كبر منه,128,4,Ablutions (Wudu') - كتاب الوضوء,سهل
128,اتت ضجع وضأ وضء صلة ضطجع شقك ايم قل لهم سلم وجه وفض امر ألجأ ظهر رغب رهب لجأ نجا منك لهم امن كتب زلت بنب رسل مت ليل فأن فطر جعل اخر كلم ردد نبي فلم بلغ لهم امن كتب زلت رسل ونب رسل,427,4,Ablutions (Wudu') - كتاب الوضوء,سهل
129,نبي غسل جنب بدأ غسل يده وضأ وضأ صلة دخل صبع ماء خلل اصل شعر يصب رأس غرف بيد يفض ماء جلد كله,201,5,Bathing (Ghusl) - كتاب الغسل,سهل
130,وضأ وضء صلة رجل غسل فرج صبه اذى افض ماء نحى رجل غسل غسل جنب,153,5,Bathing (Ghusl) - كتاب الغسل,سهل
131,عئش كنت غسل نبي انء قدح يقل فرق,89,5,Bathing (Ghusl) - كتاب الغسل,صعب
132,خلت أخو عئش عئش سأل اخو غسل نبي فدع إنء نحا صاع غسل أفض رأس وبن وبن حجب عبد يزد هار بهز جدي شعب قدر صاع,213,5,Bathing (Ghusl) - كتاب الغسل,صعب
133,نه جبر عبد أبو عند قوم ألو غسل يكف صاع رجل يكف جبر يكف وفى منك شعر وخر منك امن ثوب,175,5,Bathing (Ghusl) - كتاب الغسل,صعب
134,نبي يمو كنا غسل انء,64,5,Bathing (Ghusl) - كتاب الغسل,سهل
135,أفض رأس ثلث أشر بيد كلت,58,5,Bathing (Ghusl) - كتاب الغسل,سهل
136,نبي فرغ رأس ثلث,51,5,Bathing (Ghusl) - كتاب الغسل,سهل
137,نبي أخذ اكف يفض رأس يفض سئر جسد حسن رجل كثر شعر فقل نبي منك شعر,173,5,Bathing (Ghusl) - كتاب الغسل,سهل
138,يمن وضع نبي ماء غسل غسل يده مرت ثلث فرغ شمل غسل مذاكير مسح يده ارض ضمض نشق غسل وجه ويد افض جسد تحل كنه غسل قدم,211,5,Bathing (Ghusl) - كتاب الغسل,صعب
